"","samples","mean","upper","lower","sv","rel","der","cum","sector"
"103",9,0.115394091084137,0.116547967338121,0.11360784388095,"samples",47.2669782602508,2.901,53,"M"
"104",10,0.109600678392731,0.110774658761285,0.1078719779861,"samples",44.893918174031,2.373,55,"M"
"105",11,0.104506319675309,0.105488114282079,0.102817308602084,"samples",42.8072000372184,2.087,57,"M"
"106",12,0.100065045615951,0.101134215085046,0.098447059823164,"samples",40.987994197134,1.819,59,"M"
"107",13,0.0961391313202357,0.0969117901151642,0.0947089382235018,"samples",39.3798866768633,1.608,61,"M"
"108",14,0.0925613411563323,0.0935055480604229,0.0911077696564961,"samples",37.9143755028669,1.466,62,"M"
"109",15,0.0895027206378923,0.0905843414707465,0.0880841182890177,"samples",36.6615232277357,1.253,63,"M"
"110",16,0.0866418908925895,0.0875364156456932,0.0853201653498928,"samples",35.4896887247115,1.172,65,"M"
"111",17,0.084009261508873,0.084760646324465,0.0826496170803013,"samples",34.4113281719455,1.078,66,"M"
"112",18,0.081672474628363,0.082481761354696,0.0804818179112867,"samples",33.4541487042432,0.957,67,"M"
"113",19,0.0794773179416723,0.0801963900415083,0.07829441880149,"samples",32.5549828768353,0.899,67,"M"
"114",20,0.0774682200076054,0.0781848675274031,0.0763570457791764,"samples",31.7320292274754,0.823,68,"M"
